itmno,word,imagery,concreteness,meaningfulness,frequency,syl,letters,freerecall,List_Number
731,revolt,5.07,4.05,5.6,22,2,6,0.25,1
852,tobacco,6.27,6.87,7.84,36,3,7,0.25,1
717,reaction,3.83,2.93,4.84,21,3,8,0.25,1
658,person,5.83,6.51,5.68,100,2,6,0.656,1
443,icebox,6.17,6.9,6.28,1,2,6,0.5,1
881,utensil,5.47,6.58,6.08,8,3,7,0.469,1
807,steam,6.37,6.41,7.46,50,1,5,0.375,1
352,franchise,2.9,3.57,4.84,4,2,9,0.281,1
777,silence,4.1,3.09,5.82,100,2,7,0.406,1
11,acrobat,6.53,6.38,5.67,1,3,7,0.375,1
458,industry,5.77,5.76,6,100,3,8,0.375,1
530,limelight,4.83,3.06,4.72,1,2,9,0.25,1
694,prisoner,6.23,6.45,6.76,50,3,8,0.625,1
608,noose,6.23,6.2,6.2,2,1,5,0.469,1
782,skin,6.43,6.96,5.67,100,1,4,0.563,1
485,jail,6.43,6.69,7.38,22,1,4,0.688,1
865,trouble,3.53,2.25,5.08,100,2,7,0.25,1
125,butter,6.57,6.96,6.91,100,2,6,0.656,1
684,prairie,6.47,6.8,8.16,25,2,7,0.438,1
524,letterhead,5.13,6.45,4.92,1,3,10,0.469,1
674,pole,6.1,6.93,6.2,50,1,4,0.438,1
273,duty,3.17,2.32,5.6,100,2,4,0.25,1
803,square,6.37,5.7,5.44,100,1,6,0.375,1
291,encore,4,3.62,5.72,2,2,6,0.188,1
317,factory,6.43,6.87,6,50,3,7,0.375,1
162,circle,6.23,6,4.88,100,2,6,0.281,1
830,surtax,1.63,4.12,2.96,1,2,6,0.406,1
75,barnacle,4.5,6.2,5.69,1,3,8,,1
557,mast,6.43,6.96,7.12,26,1,4,0.344,1
610,nun,6.67,6.76,6.6,9,1,3,0.563,1
156,child,6.5,6.87,7.04,100,1,5,0.531,1
270,dress,6.53,6.93,5.68,100,1,5,0.563,1
640,panic,5.33,2.18,6.72,19,2,5,0.25,1
486,jealousy,4.72,1.77,4.88,17,3,8,0.438,1
825,sultan,5.57,6.52,7.24,14,2,6,0.563,1
582,molecule,4.43,5.38,6.68,3,3,8,0.313,1
200,corn,6.47,6.9,6.96,50,1,4,0.594,1
556,marriage,5.8,3.94,6.29,50,2,8,0.5,1
721,reflex,4.73,4.08,5.88,2,2,6,0.219,1
791,soil,6,6.87,8,100,1,4,0.375,1
92,blasphemy,3.17,2.88,5.19,3,3,9,0.438,1
355,friend,6.37,4.89,6.4,100,1,6,0.656,1
834,tank,6.23,6.87,6.48,19,1,4,0.438,1
3,abdication,3.57,2.66,4.72,1,4,10,0.438,1
620,officer,6.23,6.32,5.43,100,3,7,0.469,1
196,convention,5.07,5.38,4.92,50,3,10,0.406,1
679,position,2.97,3.31,6.24,100,3,8,0.094,1
59,attitude,2.77,1.83,5.6,50,3,8,0.188,1
788,snake,6.9,7,6.88,28,1,5,0.5,1
122,bungalow,6.13,6.87,5.48,8,3,8,0.469,1
804,stagecoach,6.43,6.9,6.96,3,2,10,0.281,1
157,chin,6.43,6.96,5.28,27,1,4,0.5,1
34,anecdote,3.77,4.87,5.84,7,3,8,0.469,1
259,disturber,4.1,5.07,4.6,1,3,9,0.281,1
326,feudalism,3.83,2.95,5.8,1,3,9,0.438,1
477,interview,5.03,4.34,4.88,26,3,9,0.438,1
223,daybreak,6.43,5.73,7.68,9,2,8,0.219,1
621,offshoot,3.67,4.2,5.46,1,2,8,0.344,1
541,macaroni,6.47,7,6,2,4,8,0.406,1
636,pacifism,3.9,2.06,3.8,1,3,8,0.188,1
421,hindrance,3.07,2.97,4.8,3,2,9,0.25,1
549,malady,3.37,3.72,6,6,3,6,0.438,1
475,interest,3.13,2.2,5.52,100,3,8,0.281,1
191,conquest,4.03,3.11,5.81,26,2,8,0.094,1
412,health,4.1,3.54,6.39,100,1,6,0.375,1
665,pipe,6.43,6.9,6.2,50,1,4,0.406,1
919,winter,6.53,5.83,8.32,100,2,6,0.406,1
382,glutton,5.77,5.77,5.32,2,2,7,0.406,1
159,christmas,6.7,4.53,8.76,50,2,9,0.563,1
645,passion,5.3,1.66,5.68,50,2,7,0.406,1
887,vegetable,5.83,6.76,6.92,50,4,9,0.563,1
768,shame,4.1,1.7,5.16,50,1,5,0.25,1
81,beggar,6.4,6.25,6.5,29,2,6,0.5,1
208,cowhide,5.4,6.89,6.39,1,2,7,0.531,1
128,camouflage,5.2,5.26,6.38,2,3,10,0.406,1
924,world,5.97,5.9,6.88,100,1,5,0.469,1
833,tablespoon,6.33,6.9,5.63,24,3,10,0.375,1
702,proprietor,5.1,6.45,5.72,12,4,10,0.281,1
346,fork,6.57,6.94,7.08,31,1,4,0.469,1
213,creature,4.6,6.03,5.5,50,2,8,0.25,1
732,revolver,6.7,6.96,7.4,9,3,8,0.344,1
741,rosin,4.2,5.88,4.56,1,2,5,0.344,1
521,length,3.73,3.75,5.84,100,1,6,0.125,1
463,ingratitude,2.93,1.77,4,4,4,11,0.438,1
902,vocation,3.8,3.26,6.12,4,3,8,0.219,1
749,salute,5.77,5,6.52,22,2,6,0.344,1
730,retailer,4.33,5.88,6.76,3,3,8,0.469,1
27,alligator,6.87,6.93,7.72,6,4,9,0.5,1
302,event,2.9,3.72,5.04,50,2,5,0.313,1
903,volcano,6.63,6.83,7.6,14,3,7,0.438,1
349,fortune,4.57,3.82,6,50,2,7,0.438,1
548,maker,3.57,4.46,5,27,2,5,0.375,1
744,safety,4.27,2.25,5.76,50,2,6,0.219,1
761,sentiment,3.57,1.83,4.88,29,3,9,0.25,1
276,earth,6.27,6.58,7.56,100,1,5,0.438,1
432,hospital,6.53,6.8,7.44,50,3,8,0.594,1
395,grief,4.7,1.86,6.32,45,1,5,0.188,1
294,ensemble,4.63,5.45,4.8,4,3,8,0.219,1
245,diffusion,3.4,3.18,5.67,2,3,9,,1
136,caravan,5.83,6.15,6.52,7,3,7,0.188,1
183,comparison,2.93,2.69,4.56,25,4,10,0.156,1
353,freedom,3.83,1.98,6.36,50,2,7,0.313,1
814,street,6.57,6.62,7.48,100,1,6,0.375,1
893,vestibule,5.43,6.73,6,2,3,9,0.406,1
167,cleanness,4.77,3.63,5.64,4,2,9,0.344,1
410,headlight,6.43,6.9,6.32,2,2,9,0.438,1
399,hairpin,6.13,6.96,6,1,2,7,0.281,1
612,nutmeg,5.37,6.87,5.6,2,2,6,0.281,1
794,sovereign,5.73,5.94,7.12,23,3,9,0.375,1
447,illusion,3.53,2.03,4.67,10,3,8,0.375,1
389,grandmother,6.43,6.66,6.08,48,3,11,0.781,1
8,abode,5.07,6.31,6.64,16,2,5,0.313,1
780,situation,2.53,2.76,4.84,50,4,9,0.062,1
836,temerity,2.33,2.19,2.04,1,4,8,0.344,1
920,wistfulness,3.13,1.83,4.16,1,3,11,0.438,1
598,murder,5.4,4.6,7.8,50,2,6,0.438,1
264,door,6.6,7,7.96,100,1,4,0.469,1
799,spire,5.57,6.72,4.72,11,1,5,0.281,1
359,functionary,1.77,2.62,4.29,1,4,11,0.125,1
638,painter,5.87,6.59,6.4,25,2,7,0.375,1
116,brutality,4.9,3.19,5.06,2,4,9,0.406,1
9,abyss,5.17,5.4,5.88,5,2,5,0.438,1
269,dreamer,5.33,5.1,5.04,4,2,7,0.5,1
393,greed,3.53,1.73,5.52,3,1,5,0.281,1
83,belief,2.73,1.55,5.24,39,2,6,0.375,1
699,profile,5.97,5.72,5.6,5,2,7,0.188,1
137,casement,4.63,6.24,5.25,6,2,8,,1
289,emporium,2.93,5.16,4.04,1,3,8,0.406,1
519,lemon,6.83,6.96,7.72,27,2,5,0.563,1
769,sheepskin,6.13,6.83,6.44,2,2,9,0.25,1
509,landscape,6.43,6.2,7.12,19,2,9,0.438,1
685,prayer,5.17,3.6,6.63,50,1,6,0.531,1
267,drama,4.9,3.66,7,23,2,5,0.188,1
878,university,6.53,5.87,7.2,50,5,10,0.719,1
496,justice,3.6,2.18,6.6,50,2,7,0.438,1
714,railroad,6.27,6.76,6.6,100,2,8,0.313,1
843,thief,5.7,6.08,6.5,28,1,5,0.25,1
490,journal,5.6,6.69,5.88,100,2,7,0.219,1
892,vest,6.37,6.73,5.96,21,1,4,0.406,1
722,refrigerator,6.67,7,7.36,11,4,12,0.656,1
618,ocean,6.77,6.9,8.76,100,2,5,0.406,1
385,gold,6.47,6.76,6.36,100,1,4,0.594,1
195,contribution,3.67,3.33,5.44,19,4,12,0.125,1
547,majority,3.63,3.48,5.48,50,4,8,0.188,1
904,volume,4.53,5.14,6.16,50,2,6,0.438,1
719,recognition,3.6,2,5.04,21,4,11,0.5,1
132,cane,6.43,6.93,7.48,19,1,4,0.563,1
202,corpse,6.5,6.89,6.52,9,1,6,0.625,1
676,pollution,4.63,4.14,7.4,3,3,9,0.313,1
237,derelict,4.6,5.66,4.52,1,3,8,,1
247,dirt,6.1,6.66,6.44,21,1,4,0.75,1
139,cat,6.8,7,6.76,100,1,3,0.844,1
765,settlement,4.6,5.13,6.24,50,3,10,0.344,1
381,glory,4.13,1.77,5.88,50,2,5,0.25,1
440,hurdle,6.33,6.65,5.92,2,2,6,0.313,1
177,college,6.2,6.38,7.28,100,2,7,0.656,1
912,whalebone,4.9,6.87,7.04,1,2,9,0.375,1
261,doll,6.17,6.94,6.12,46,1,4,0.625,1
145,centennial,4.1,3.45,6.13,1,4,10,0.344,1
324,feline,4.67,5.31,5.42,2,2,6,0.563,1
411,headquarters,5.03,5.94,5.08,23,3,12,0.469,1
133,capacity,3.4,2.41,5.44,37,4,8,0.094,1
554,mantle,6.27,6.76,5.92,19,2,6,0.406,1
894,victim,5.07,5.49,5.36,36,2,6,0.469,1
778,simile,2.9,3.97,5.25,2,3,6,0.25,1
123,busybody,5.17,5,5.5,1,4,8,0.344,1
439,humour,4.57,2.31,5.72,41,2,6,0.313,1
635,oxygen,4.27,5.43,6.2,25,3,6,0.313,1
433,hostage,5.57,6.05,6.4,3,2,7,0.281,1
152,charm,4.7,2.17,6.13,50,1,5,0.219,1
199,core,5.17,4.67,5.11,7,1,4,0.188,1
539,lubricant,5.23,5.86,5.44,2,3,9,0.406,1
78,basement,6.03,6.83,6.83,8,2,8,0.5,1
585,money,6.43,6.63,6.68,100,2,5,0.563,1
574,mind,3.03,2.6,5.88,100,1,4,0.563,1
465,injury,5.7,5.51,7.32,24,3,6,0.469,1
805,stain,5.93,6.25,5.25,28,1,5,0.438,1
831,swamp,6.33,6.62,6.67,29,1,5,0.531,1
806,star,6.7,6.73,7.04,100,1,4,0.281,1
238,destruction,5.27,3.61,5.32,37,3,11,0.469,1
126,butterfly,6.63,6.93,7.8,22,3,9,0.438,1
577,mischief,4.03,2.9,5.44,20,2,8,0.313,1
682,poverty,5.07,3.17,5.44,24,3,7,0.156,1
528,limb,6.17,6.93,6.8,38,1,4,0.469,1
642,paper,6.3,6.89,7.68,100,2,5,,1
370,gem,6.4,6.59,6.88,24,1,3,0.406,1
390,grass,6.63,6.96,7.54,100,1,5,0.438,1
812,storm,6.43,6.45,7.21,100,1,5,0.188,1
99,board,6.07,6.87,6.92,100,1,5,0.375,1
720,reflection,5.9,3.12,6.56,22,3,10,0.344,1
127,cabin,6.47,6.96,7.2,50,2,5,0.5,1
917,window,6.37,7,6.76,100,2,6,0.469,1
480,invoice,5.17,6.14,6.28,1,2,7,0.313,1
724,rendezvous,5.2,4,6.04,3,3,10,0.375,1
172,coast,6.13,6.59,6.4,50,1,5,,1
604,nephew,4.3,6.19,4.48,22,2,6,0.563,1
451,impropriety,1.87,2.08,3.75,1,5,11,0.188,1
151,charlatan,3.43,5.28,3.19,1,3,9,0.313,1
784,sky,6.73,6.18,7.84,100,1,3,0.656,1
594,mountain,6.77,7,7.58,100,2,8,0.563,1
292,engagement,4.7,3.46,5.76,24,3,10,0.5,1
306,exclusion,2.8,2.41,5.32,4,3,9,0.313,1
283,elaboration,2.63,2.18,4.36,1,5,11,0.219,1
622,onslaught,3.67,3.34,5.84,2,2,9,0.313,1
434,hostility,4.23,2.18,5.64,12,4,9,0.281,1
392,gravity,3.6,2.56,6.24,14,3,7,0.25,1
383,goblet,6.03,6.96,5.72,7,2,6,0.344,1
337,flood,6.33,6.62,6.36,50,1,5,0.563,1
754,science,4.07,3.05,6.56,50,1,7,0.594,1
697,profession,3.83,3.65,5.44,28,3,10,0.5,1
692,priest,6.53,6.59,6.88,42,1,6,0.781,1
84,belongings,5.1,5.85,5.38,6,3,10,0.219,1
570,method,2.63,2.2,5.2,100,2,6,0.469,1
42,anxiety,4.03,1.63,5.69,22,4,7,0.438,1
520,lemonade,6.5,6.93,7.13,7,3,8,0.375,1
60,attribute,2.4,2,3.83,22,3,9,0.156,1
742,rubble,5.23,6.18,5.4,1,2,6,0.313,1
909,welfare,3.17,2.35,6.16,25,2,7,0.406,1
332,fisherman,6.5,6.52,7.84,26,3,9,0.563,1
246,direction,3.83,3.19,6.78,100,3,9,0.375,1
538,loyalty,4.07,1.56,5.72,19,3,7,0.25,1
693,prison,6.23,6.62,7.21,50,2,6,0.594,1
373,gentleman,6.2,6.42,5.8,100,3,9,,1
783,skull,6.47,6.96,6.64,13,1,5,0.406,1
48,arm,6.53,6.96,6.92,100,1,3,0.656,1
651,pep,4.6,2.73,6.04,3,1,3,0.438,1
110,brain,5.93,6.63,6.8,50,1,5,0.406,1
497,keg,6.4,6.87,4.84,3,1,3,0.563,1
841,theory,2.57,1.9,5.88,50,2,6,0.25,1
224,daylight,5.9,5.75,5.8,25,2,8,0.469,1
779,singer,6.17,6.35,6.64,20,2,6,,1
868,trumpet,6.6,7,6.8,17,2,7,0.25,1
408,harp,6.6,6.94,6,20,1,4,0.281,1
691,pride,4.23,1.49,5.24,50,1,5,,1
467,inn,6.07,6.8,6.61,27,1,3,0.688,1
351,fox,6.73,7,7.4,25,1,3,0.656,1
64,avenue,6.07,6.48,6.09,50,3,6,0.344,1
756,sea,6.73,6.79,7.16,100,1,3,0.688,1
368,garret,4.13,6.14,4.12,7,2,6,0.563,1
690,preview,4.03,4.14,4.12,1,2,7,0.25,1
471,institute,4.6,5.84,4.92,21,3,9,0.281,1
499,kerosene,5.77,6.87,6.04,7,3,8,0.375,1
52,arrow,6.57,7,6.8,37,2,5,0.313,1
384,goddess,5.23,3.04,6.48,22,2,7,0.563,1
286,emancipation,3.2,2.49,5.2,1,5,12,0.594,1
897,vigour,4.43,2.6,5.72,19,2,6,0.375,1
103,bosom,6.57,6.09,5.5,27,2,5,0.844,1
277,eccentricity,3.77,2.27,4.04,2,5,12,0.594,1
498,kerchief,5.23,6.82,6.48,3,2,8,0.344,1
844,thistledown,3.83,6.14,4.76,1,3,11,0.469,1
155,chief,6.07,5.87,6.08,100,1,5,0.375,1
708,python,5.47,6.42,5.88,1,2,6,0.438,1
66,background,4.03,4.1,5.88,25,2,10,0.25,1
669,plant,6.5,6.87,8.32,100,1,5,0.375,1
566,memory,3.1,1.78,5,50,3,6,0.656,1
101,book,6.43,6.96,7.68,100,1,4,0.5,1
870,tweezers,6.57,6.93,5.8,1,2,8,0.469,1
850,timepiece,6.1,6.76,6.08,1,2,9,0.281,1
633,owner,4.23,5.9,5.71,50,2,5,0.5,1
118,buffoon,4.33,4.63,4.5,1,2,7,0.594,1
281,effort,3.33,2.22,5.75,100,2,6,0.281,1
746,salary,4.7,5.23,5.08,50,3,6,0.188,1
206,cotton,6,6.9,7.13,100,2,6,0.469,1
468,insect,6.1,6.8,6.32,40,2,6,0.5,1
129,camp,6.57,6.56,7.17,100,1,4,0.531,1
553,management,3.9,3.69,5.68,27,3,10,0.531,1
707,pupil,6.37,6.63,6.24,50,2,5,0.375,1
212,creator,3.87,3.97,5.68,8,2,7,0.344,1
148,chair,6.63,7,7.2,100,1,5,0.344,1
891,vessel,5.9,6.99,7.82,50,2,6,0.25,1
430,horse,6.8,6.94,8.67,100,1,5,0.563,1
143,cell,6.47,6.63,7.52,50,1,4,0.594,1
723,reminder,2.83,3.48,5.2,17,3,8,0.219,1
108,bowl,6.3,6.9,7.24,50,1,4,0.594,1
522,leopard,6.77,7,6.83,6,2,7,0.5,1
798,spinach,6.47,6.9,7.08,8,2,7,,1
331,firmament,4.3,4.5,4.96,7,3,9,0.5,1
512,lawn,6.57,6.96,7.28,36,1,4,0.469,1
295,enterprise,3.07,3.55,5.36,21,3,10,0.438,1
568,mercy,3.4,1.59,5.2,45,2,5,0.375,1
97,blossom,6.67,6.62,7.6,43,2,7,0.625,1
619,odour,5.13,5.83,5.76,27,2,5,0.438,1
494,juggler,6.1,6.45,5.84,1,2,7,0.344,1
555,market,6.13,6.08,7.04,100,2,6,0.469,1
328,fiord,5.7,6.69,6.48,2,2,5,0.5,1
652,pepper,6.27,6.96,6.52,27,2,6,0.406,1
198,cord,6.03,6.93,6,30,1,4,0.5,1
752,savant,3.07,3.02,3.88,1,2,6,0.344,1
431,horsehair,5.67,6.8,6.2,2,2,9,0.563,1
923,workhouse,4,6.31,4.88,1,2,9,0.406,1
853,tomahawk,6.57,6.87,6.44,3,3,8,0.438,1
811,storeroom,5.87,6.73,6.52,2,2,9,0.438,1
527,life,4.07,2.96,6.78,100,1,4,0.406,1
72,banner,5.93,6.58,6.2,23,2,6,0.375,1
193,context,2.13,2.73,4.44,1,2,7,0.313,1
774,shotgun,6.6,6.96,7.88,3,2,7,0.531,1
786,slipper,6.47,6.94,6.04,20,2,7,0.531,1
907,water,6.6,6.96,7.5,100,2,5,0.5,1
822,suds,6.4,6.75,7.29,3,1,4,0.438,1
502,kine,2,4.53,2.88,1,1,4,0.5,1
563,meat,6.63,6.93,8.32,100,1,4,0.5,1
363,gaiety,5.63,2.15,6.72,5,3,6,0.406,1
473,instrument,5.67,6.25,6.72,42,3,10,0.219,1
230,deduction,2.67,2.94,5.08,3,3,9,0.188,1
488,jeopardy,3.03,2,3.48,2,3,8,0.094,1
695,procession,5.7,5.9,5.63,27,3,10,0.344,1
161,cigar,6.8,6.96,6.22,16,2,5,0.469,1
738,robbery,5,4.75,6.16,9,3,7,0.281,1
221,damsel,6.03,6.58,6.12,36,2,6,0.531,1
842,thicket,5.6,6.49,6.04,19,2,7,0.438,1
493,judge,6.27,6.25,7.04,100,1,5,0.531,1
406,hardwood,5.77,6.58,5.46,2,2,8,0.406,1
138,cash,6.17,6.28,7.21,46,1,4,0.375,1
456,increment,2.63,2.85,3.72,1,3,9,0.375,1
687,present,4.8,3.88,6.13,100,2,7,0.188,1
657,permission,2.87,4.43,4.68,22,3,10,0.219,1
905,warbler,5.57,6.63,5.79,2,2,7,0.406,1
569,metal,5.87,6.76,6.96,50,2,5,0.469,1
243,devotion,3.9,1.48,5.52,21,3,8,0.406,1
178,colony,5.1,5.87,5,50,3,6,0.406,1
38,animosity,3.6,1.81,5.19,4,5,9,0.563,1
916,wigwam,6.23,6.83,5.88,1,2,6,0.406,1
922,woods,6.7,6.87,7.84,100,1,5,0.5,1
214,crime,4.43,3.81,6.84,50,1,5,0.406,1
523,letter,6.37,6.94,5.96,100,2,6,0.625,1
413,hearing,3.77,3.57,6.64,13,2,7,0.156,1
601,namesake,3.37,3.53,4.2,2,2,8,0.344,1
297,epistle,4.23,5.58,5.63,7,3,7,0.281,1
386,golf,6.7,6.1,8.16,26,1,4,0.469,1
227,deceit,3.3,1.66,4.92,8,2,6,0.344,1
705,proxy,2.7,3.72,4.84,1,2,5,0.344,1
514,leaflet,5.47,6.62,4.92,7,2,7,0.313,1
484,item,3.67,5.27,4.96,26,2,4,0.344,1
704,prosperity,4.47,2.78,5.44,29,4,10,0.219,1
580,missile,6.33,6.8,6.48,2,2,7,0.469,1
683,power,4.47,2.73,5.88,100,2,5,0.406,1
826,sunburn,6.7,6.52,7.72,3,2,7,0.281,1
593,mother,6.67,6.52,5.83,100,2,6,0.813,1
405,hardship,4.1,2.93,5.48,19,2,8,0.156,1
675,policeman,6.7,6.69,6.96,22,3,9,0.563,1
727,research,4.13,3.22,6.92,22,2,8,0.5,1
696,product,4.2,5.8,5.12,50,2,7,0.219,1
506,labyrinth,4.83,6.16,4.8,3,2,9,0.438,1
160,church,6.63,6.59,7.52,100,1,6,0.594,1
709,quality,3.1,2.13,5.52,50,3,7,0.219,1
234,deluge,4.57,4.38,5.32,2,2,6,0.313,1
739,rock,6.37,6.96,5.96,100,1,4,0.563,1
80,beaver,6.5,6.96,8.19,23,2,6,0.406,1
166,claw,6.33,6.89,6.67,23,1,4,0.531,1
602,necessity,3,1.97,5.92,50,4,9,0.188,1
10,accordion,6.5,7,5.89,1,4,9,0.375,1
402,hammer,6.73,6.96,6.92,34,2,6,0.438,1
906,warmth,5.7,4,7.36,23,1,6,0.469,1
846,thought,2.77,1.28,5.32,100,1,7,0.375,1
445,idiom,3,3.44,4.6,1,3,5,0.281,1
24,algebra,5.17,4.85,6.72,3,3,7,0.406,1
515,lecture,5.57,4.5,5.72,28,2,7,0.406,1
154,chasm,4.47,5.25,6.04,6,1,5,0.375,1
330,fireplace,6.83,6.96,7.08,19,2,9,0.406,1
429,hope,3.83,1.18,5.52,100,1,4,0.469,1
380,glacier,6.07,6.93,7.21,8,2,7,0.5,1
53,artist,5.93,6.14,6.65,50,2,6,0.563,1
634,ownership,3.27,3.07,5.2,9,3,9,0.313,1
898,village,6.5,6.69,5.32,100,2,7,0.469,1
793,soul,2.13,1.87,6.4,100,1,4,0.531,1
268,dream,4.6,3.03,5.44,100,1,5,0.375,1
664,picture,6.2,6.75,7.16,100,2,7,0.344,1
203,cost,3.57,3.41,6.24,100,1,4,0.281,1
263,domicile,4.2,4.89,4.96,1,3,8,0.344,1
680,poster,6.33,6.96,6.2,5,2,6,0.344,1
534,locker,6.27,6.96,6.44,3,2,6,0.438,1
462,infirmary,5.63,6.43,6.65,1,4,9,0.594,1
29,ambassador,5.7,6.22,5.22,21,4,10,,1
119,builder,5.7,6.05,5.56,19,2,7,0.406,1
140,caterpillar,6.57,6.96,6.88,19,4,11,0.469,1
565,meeting,5.2,4.8,5,100,2,7,0.25,1
513,leader,5.13,5.83,6.16,100,2,6,,1
266,dove,6.53,6.9,6.36,19,1,4,0.656,1
773,shore,6.63,6.69,8.13,100,1,5,0.469,1
733,rhapsody,4.23,4.38,5.12,1,3,8,0.469,1
764,session,3.67,3.62,5.4,19,2,7,0.406,1
492,joy,5.43,1.66,6.52,100,1,3,0.656,1
409,hatred,3.97,1.59,4.84,20,2,6,0.313,1
847,ticket,6.2,7,7.21,50,2,6,0.438,1
219,daffodil,6.47,7,6.96,3,3,8,0.438,1
623,opinion,3.23,2.29,4.96,100,3,7,0.281,1
141,cattle,6.4,6.79,7.56,50,2,6,0.531,1
120,building,6.4,6.94,5.48,100,2,8,0.563,1
448,immunity,3.43,2.46,5.76,3,4,8,0.375,1
900,virtue,3.33,1.46,4.87,50,2,6,0.344,1
400,hall,6.37,6.72,6.16,100,1,4,0.531,1
790,socialist,3.13,4.69,4.54,19,3,9,0.344,1
95,blood,6.7,6.82,6.56,100,1,5,0.531,1
543,madness,4.03,2.35,5.16,12,2,7,0.313,1
753,scarlet,6.37,5.96,5.8,27,2,7,0.375,1
310,exhaustion,5.1,3.4,6.08,9,3,10,0.25,1
334,flask,6.5,7,6.28,4,1,5,,1
758,seat,6.4,6.79,6.08,100,1,4,0.469,1
437,hour,3.6,2.93,5.56,100,1,4,0.5,1
654,performer,5.43,6.01,6.48,4,3,9,0.344,1
4,abdomen,6,6.83,4.75,7,3,7,0.5,1
766,settler,5.4,6.07,6.48,20,2,7,0.156,1
77,barrel,6.57,6.94,6.16,32,2,6,0.313,1
46,aptitude,2.6,1.62,5.25,2,3,8,0.438,1
308,exertion,4.33,2.88,6,7,3,8,0.219,1
889,velocity,3.97,3.32,5.72,8,4,8,0.5,1
775,shriek,5.73,5.7,6.92,1,1,6,0.406,1
12,adage,2.77,3.63,3,1,2,5,0.313,1
748,salutation,4.47,4.87,5.24,5,4,10,0.188,1
500,kettle,6.23,7,7.44,27,2,6,0.438,1
250,disclosure,2.17,2.51,3.56,2,3,10,0.062,1
7,ability,2.67,2.03,5.6,49,4,7,0.375,1
285,elephant,6.83,7,6.88,35,3,8,0.625,1
460,infant,6.33,6.76,7.2,22,2,6,0.344,1
49,armadillo,3.77,6.44,4.38,1,4,9,0.594,1
716,rattle,6.3,6.6,6.8,28,2,6,0.344,1
626,orchestra,6.77,6.55,6.76,10,3,9,0.344,1
170,clothing,6.17,6.63,7.08,50,2,8,,1
482,irony,2.83,2.1,5.24,4,2,5,0.188,1
824,sulphur,6.03,6.72,6.25,21,2,7,0.188,1
28,amazement,4.47,2.18,4.5,19,3,9,,1
866,truce,4.8,3.05,6.17,3,1,5,0.219,1
258,distraction,3.23,2.35,4.12,3,3,11,0.469,1
575,miracle,3.33,2.25,5.6,24,3,7,0.188,1
501,kindness,4.2,1.63,4.84,35,2,8,0.344,1
